Data Download from NCSES Interactive Data Tool

Filters,Selected values
"State","ALL"
"Fiscal Year","ALL"
"Institution Name","ALL"

"Deflator: 2012 Dollars",
"Unit of Measure: Thousands of Dollars",

,"<Fiscal Year>","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973",
"Kentucky","Murray State U.","3,303","2,608","2,278","2,005","2,263","2,006","2,154","3,345","3,789","3,533","1,825","2,514","2,773","3,752","4,037","4,810","3,401","2,606","2,921","2,669","2,574","2,714","2,001","1,447","1,718","1,387","1,489","1,325","1,153","983","803","610","919","1,229","1,547","1,898","2,280","1,417","493","1,469","2,615","-","377","521","-","-","1,157",
"Kentucky","Northern Kentucky U.","2,104","1,501","1,528","1,743","1,933","1,979","1,779","2,201","2,443","2,410","1,977","1,900","1,993","2,251","1,738","1,162","643","209","178","147","242","291","334","381","430","482","535","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Kentucky","Spalding U.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1,439","1,466","1,322","592","-","251","-","-","21","17","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Kentucky","U. Kentucky","365,518","356,882","350,515","330,073","316,546","316,589","333,904","360,776","380,085","374,510","379,201","366,291","377,175","374,887","365,932","366,208","344,399","291,511","265,349","259,221","227,881","214,319","167,644","162,225","155,751","149,932","149,319","137,014","123,264","117,729","113,291","116,839","96,487","96,588","86,835","85,179","79,969","79,189","77,271","70,998","76,561","72,074","61,111","51,227","51,155","46,787","50,249",
"Kentucky","U. Louisville","154,424","160,406","164,512","163,221","155,801","176,867","183,551","196,842","201,225","196,742","175,970","174,072","176,712","164,597","160,079","140,548","113,768","99,904","91,311","82,050","74,703","52,000","44,910","40,522","31,774","29,087","28,288","25,845","25,602","25,005","23,570","38,851","40,259","26,553","11,733","14,346","16,979","14,846","14,090","15,350","16,500","20,516","17,924","17,465","16,007","12,168","10,976",
"Kentucky","Western Kentucky U.","8,262","8,732","10,018","8,426","7,495","7,986","9,161","10,639","8,504","10,345","9,619","9,392","11,249","10,093","7,816","6,982","5,565","6,516","5,220","4,829","4,304","8,424","7,051","5,684","4,273","2,816","1,296","1,167","1,032","898","758","606","647","675","702","737","778","1,384","903","731","880","-","709","1,448","1,853","2,504","1,895",
"Louisiana","Total for selected values","692,930","675,823","640,083","644,856","632,490","642,124","659,997","699,228","741,463","742,556","748,193","738,667","683,121","642,691","694,416","686,104","639,112","588,247","547,041","524,529","493,497","470,240","465,894","439,778","459,003","398,529","382,993","374,274","369,092","336,142","302,914","287,266","265,275","249,075","238,223","204,225","195,045","198,385","197,934","175,508","163,409","159,858","135,374","136,715","131,389","130,559","140,205",
"Louisiana","Dillard U.","2,468","5,968","6,573","9,030","8,958","6,693","7,607","7,448","8,088","8,766","6,856","2,112","5,065","2,357","1,603","1,261","809","651","437","338","229","232","235","429","202","156","-","-","-","-","764","-","-","-","-","-","-","-","-","7","-","-","161","213","228","216","315",
"Louisiana","Grambling State U.","2,525","2,707","5,476","1,482","1,778","1,417","1,666","2,179","2,176","1,033","861","872","463","789","2,573","2,281","2,687","3,025","2,837","2,900","2,615","2,653","3,538","1,988","284","297","305","411","521","642","173","108","238","246","251","259","268","279","296","324","534","-","493","486","767","1,721","1,357",
"Louisiana","LA State U. all campuses","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","277,523","275,960","268,270","259,817","235,621","230,445","225,541","224,274","213,361","199,361","194,212","178,925","164,738","165,436","141,170","137,904","141,774","136,308","125,513","115,560","113,099","84,850","80,471","80,194","78,599","78,996",
"Louisiana","Louisiana State U., Baton Rouge","263,955","260,353","245,644","275,615","268,306","279,780","278,512","285,395","293,362","301,603","310,283","297,060","288,578","284,511","273,177","264,916","252,528","244,296","223,426","220,672","207,766","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Louisiana","Louisiana State U., Health Sciences Center, New Orleans","36,424","35,403","37,782","40,654","44,699","43,872","48,590","53,712","58,100","62,195","62,220","63,645","98,931","88,743","107,063","112,972","99,091","79,168","81,706","71,459","58,565","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Louisiana","Louisiana State U., Health Sciences Center, Shreveport","23,380","22,213","20,899","22,045","22,969","24,117","27,778","29,365","31,616","32,064","32,939","35,486","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Louisiana","Louisiana State U., Shreveport","-","-","-","-","-","-","921","1,168","1,851","1,414","916","923","1,260","968","502","652","505","158","173","161","148","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Louisiana","Louisiana Tech U.","23,274","22,387","21,067","21,810","22,738","22,128","24,519","26,546","28,112","27,073","22,587","24,148","18,587","20,091","21,290","23,159","21,372","14,941","12,515","13,100","10,029","10,174","7,225","4,236","3,767","3,289","5,197","5,919","4,191","6,116","6,403","4,788","4,864","4,688","4,480","4,310","4,143","3,157","3,062","3,040","2,974","2,561","1,851","2,020","2,526","1,486","1,676",
"Louisiana","Loyola U., New Orleans","-","-","-","-","-","-","-","-","794","619","785","1,004","614","530","722","637","621","600","575","553","530","502","471","443","413","384","353","306","261","217","169","119","98","77","55","32","8","12","11","90","101","-","212","225","131","172","176",
"Louisiana","McNeese State U.","-","378","1,359","1,194","1,596","1,631","1,401","1,330","1,591","1,121","1,279","1,228","500","490","779","984","900","875","590","818","915","545","34","179","182","-","1,149","1,068","986","909","829","743","647","2,556","2,111","2,151","2,100","5,516","3,927","2","52","-","634","1,067","425","399","371",
"Louisiana","Nicholls State U.","-","-","-","628","1,518","1,738","1,677","2,794","3,385","2,695","1,962","1,243","1,333","1,952","2,423","1,445","933","1,012","861","646","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Louisiana","Northwestern State U. Louisiana","1,832","1,474","1,272","1,537","-","764","1,004","1,102","1,212","1,523","1,463","1,641","401","511","514","517","517","513","508","505","502","494","485","478","472","466","460","518","181","176","125","12","16","20","24","28","33","39","45","50","52","-","60","44","519","1,197","443",
"Louisiana","Southeastern Louisiana U.","1,755","1,851","2,044","2,009","2,548","1,450","2,031","2,121","1,989","2,665","1,802","2,501","1,873","2,489","1,994","1,983","1,113","1,031","808","1,354","1,278","1,162","1,045","931","813","692","566","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Louisiana","Southern U. and A&M C., Agricultural Research and Extension Center","4,850","4,809","4,632","4,440","4,543","5,407","5,435","8,122","6,261","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Louisiana","Southern U. and A&M C., Baton Rouge","3,999","3,787","3,745","4,080","4,548","4,641","4,835","6,773","6,950","7,143","7,226","7,107","6,044","4,830","4,956","5,092","6,437","7,785","9,157","10,633","12,172","12,039","13,767","14,686","13,412","9,251","9,920","10,120","9,027","8,289","7,519","5,843","3,850","5,111","5,847","5,800","4,703","4,858","4,169","4,435","2,486","-","3,758","2,804","2,201","2,021","1,748",
"Louisiana","Southern U., New Orleans","-","-","-","-","-","-","-","-","720","418","532","209","167","657","677","656","711","1,156","852","234","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Louisiana","Tulane U.","175,319","175,515","167,667","156,170","145,682","152,223","157,647","164,373","174,996","172,211","172,175","175,722","151,721","131,934","164,605","153,074","143,130","127,077","125,030","114,995","114,343","116,704","116,093","114,316","139,467","119,169","109,741","107,227","109,050","88,591","73,638","72,164","67,302","62,639","51,573","45,217","43,952","39,223","41,027","29,395","30,317","31,572","34,846","39,786","40,297","41,421","49,443",
"Louisiana","U. Louisiana, Lafayette","128,362","113,242","93,523","75,612","73,767","65,181","60,820","65,275","71,320","72,221","79,443","69,430","65,094","61,540","59,642","72,041","59,458","58,970","40,197","41,871","40,245","32,900","30,063","18,350","18,668","15,768","16,423","16,064","15,544","13,066","11,107","8,622","8,795","8,434","8,015","4,909","1,608","3,173","2,583","4,026","4,163","5,274","-","-","-","-","-",
"Louisiana","U. Louisiana, Monroe","2,105","1,928","2,128","2,304","1,596","2,187","2,733","2,469","2,866","3,001","6,452","19,156","6,266","6,258","6,319","8,215","7,085","8,157","9,241","10,419","10,652","8,156","9,553","8,382","7,526","7,504","3,836","3,566","1,373","1,787","715","654","540","566","431","348","327","354","499","471","593","871","1,360","867","871","447","806",
"Louisiana","U. New Orleans","13,646","13,109","14,765","14,838","18,094","19,882","24,183","28,450","36,037","36,438","32,421","29,609","31,326","29,445","40,106","29,632","34,535","30,921","31,720","29,484","29,196","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","6,008","8,154","6,577","6,480","7,149","8,733","3,230","2,881","4,876",
"Louisiana","Xavier U. Louisiana","9,038","10,700","11,509","11,407","9,150","9,014","8,637","10,606","10,038","8,354","5,992","5,571","4,900","4,596","5,472","6,588","6,680","7,912","6,408","4,387","4,313","7,157","7,424","7,089","13,981","5,933","4,598","3,534","3,683","2,987","2,108","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Maine","Total for selected values","134,649","116,680","113,703","94,729","98,390","120,262","102,769","120,072","142,668","143,081","165,100","160,962","154,389","135,616","111,884","118,513","102,925","92,611","88,945","73,969","58,186","46,843","46,889","50,633","46,630","43,731","37,761","34,953","41,644","37,609","33,118","29,977","30,414","35,470","38,638","33,279","39,141","39,121","38,628","35,252","32,481","30,787","29,709","30,587","29,345","26,046","26,684",
"Maine","Bates C.","1,901","1,485","1,717","1,681","2,663","1,528","2,471","2,070","1,933","1,654","1,188","1,035","1,332","1,884","1,466","1,187","1,623","1,502","1,178","766","987","906","540","803","473","226","221","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","112",
"Maine","Bowdoin C.","2,663","2,473","2,168","3,025","2,854","3,015","4,218","4,732","2,932","2,733","2,095","2,151","2,491","2,716","2,661","2,504","2,155","1,451","642","738","668","630","571","1,242","639","683","444","474","501","536","574","615","698","774","850","940","1,038","1,266","1,150","1,332","704","-","697","1,035","905","1,065","886",
"Maine","Colby C.","1,649","2,034","1,919","1,796","1,668","1,614","1,791","1,996","1,806","1,854","1,784","1,452","1,399","1,815","1,666","1,419","1,742","3,614","1,213","502","465","517","494","478","462","446","429","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Maine","Maine Maritime Academy","319","992","1,633","1,795","1,415","-","-","-","348","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Maine","St. Joseph's C. ME","-","-","-","-","-","-","-","-","324","330","291","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Maine","U. Maine","115,655","96,880","92,176","74,784","75,867","97,653","76,245","92,135","113,740","115,785","106,674","102,620","108,202","104,220","86,724","97,105","84,438","76,678","80,299","70,214","54,278","43,975","44,521","47,394","44,389","41,757","36,098","34,479","41,143","37,073","32,544","29,363","29,716","34,696","37,787","32,340","38,103","37,855","37,478","33,920","31,777","30,787","29,013","29,551","28,440","24,981","25,687",
"Maine","U. New England","6,540","6,084","7,470","7,142","7,155","7,378","6,523","5,224","4,093","3,704","2,276","1,849","2,338","1,697","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Maine","U. Southern Maine","5,924","6,732","6,621","4,506","6,767","9,074","11,523","13,915","17,263","17,020","50,793","51,855","38,627","23,284","19,367","16,299","12,967","9,367","5,614","1,750","1,789","816","763","716","668","619","569","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Maine","Unity C.","-","-","-","-","-","-","-","-","228","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Maryland","Total for selected values","4,121,095","3,784,140","3,721,316","3,586,779","3,570,696","3,446,344","3,373,931","3,359,741","3,482,218","3,266,293","3,206,500","2,943,862","2,783,189","2,842,794","2,746,911","2,707,181","2,502,211","2,338,482","2,072,643","1,931,001","1,816,646","1,767,048","1,722,543","1,700,195","1,682,531","1,670,832","1,678,429","1,663,173","1,628,650","1,522,075","1,496,499","1,352,839","1,274,532","1,095,504","998,306","900,879","820,661","776,937","736,418","753,369","747,348","314,791","312,401","302,442","301,303","289,359","282,656",
"Maryland","Bowie State U.","1,701","1,670","1,680","1,819","1,429","1,698","1,397","1,739","1,947","-","-","-","2,119","2,166","2,487","2,221","2,857","2,875","2,766","3,426","3,503","5,992","3,589","67","241","1,331","675","631","355","55","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Maryland","Capitol C.","-","-","-","-","-","-","-","-","680","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Maryland","Columbia Union C.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","106","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","59","148",
"Maryland","Coppin State U.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","14","8","20","159","289","310","112","153","322","1,597","1,359","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Maryland","Frostburg State U.","-","-","-","-","-","-","-","-","699","542","226","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Maryland","Goucher C.","-","-","-","-","-","-","-","-","277","505","283","310","235","-","-","-","149","151","152","154","156","157","157","107","78","135","238","105","111","137","127","105","126","147","169","193","219","248","285","253","70","-","45","156","506","253","471",
